rho,bact
-0.42895437754009313,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Peptostreptococcaceae g__
-0.4262348756555467,k__Bacteria p__Firmicutes c__Erysipelotrichi o__Erysipelotrichales f__Erysipelotrichaceae g__Clostridium
-0.2942133749429183,k__Bacteria p__Firmicutes c__Bacilli o__Turicibacterales f__Turicibacteraceae g__Turicibacter
-0.22094697474922526,k__Bacteria p__Proteobacteria c__Gammaproteobacteria o__Enterobacteriales f__Enterobacteriaceae
-0.21229716217674952,k__Bacteria p__Firmicutes c__Clostridia o__SHA-98 f__ g__
-0.2011878925133309,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__[Mogibacteriaceae]
-0.19437021091665158,k__Bacteria p__Firmicutes c__Erysipelotrichi o__Erysipelotrichales f__Erysipelotrichaceae g__
-0.18703326742803156,k__Bacteria p__ c__ o__ f__ g__
-0.1747923406456462,k__Bacteria p__Firmicutes c__Erysipelotrichi o__Erysipelotrichales f__Erysipelotrichaceae
0.18125930258607612,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Ruminococcaceae g__Clostridium
0.18806100757720248,k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Rikenellaceae g__AF12
0.19805823805276684,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Ruminococcaceae g__
0.21966265228972554,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Ruminococcaceae g__Ruminococcus
0.22108136187940353,k__Bacteria p__Tenericutes c__Mollicutes o__RF39 f__ g__
0.23124254439119138,k__Bacteria p__Firmicutes c__Bacilli o__Lactobacillales f__Enterococcaceae g__Enterococcus
0.2366846564312392,k__Bacteria p__Bacteroidetes
0.23715786780454703,k__Bacteria p__TM7 c__TM7-3 o__CW040 f__F16 g__
0.25035499974072056,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales
0.2869435273075222,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Ruminococcaceae
0.30754675329886505,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Peptococcaceae g__
0.313385921619538,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Lachnospiraceae g__
0.3994771708544099,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Lachnospiraceae g__Roseburia
