rho,bact
-0.35421544462641463,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Lachnospiraceae g__
-0.3475430895084591,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Lachnospiraceae g__Roseburia
-0.3285131134213326,k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Rikenellaceae g__
-0.2900579785193679,k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__S24-7 g__
-0.2828442203901992,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales
-0.2667416997122026,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Peptococcaceae g__
-0.26421040334485346,k__Bacteria p__Cyanobacteria c__4C0d-2 o__YS2 f__ g__
-0.258221863534753,k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Prevotellaceae g__Prevotella
-0.25754809186747896,k__Bacteria p__Tenericutes c__Mollicutes o__RF39 f__ g__
-0.24172846744580176,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Ruminococcaceae g__Oscillospira
-0.23686295571818264,k__Bacteria p__TM7 c__TM7-3 o__CW040 f__F16 g__
-0.2367985477548223,k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Rikenellaceae g__AF12
-0.23360498890476283,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Ruminococcaceae
-0.22885828958369947,k__Bacteria p__Firmicutes c__Bacilli o__Lactobacillales f__Enterococcaceae g__Enterococcus
-0.20563650493338892,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Lachnospiraceae
-0.20027016557776736,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Ruminococcaceae g__Ruminococcus
-0.1907456023453944,k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__[Odoribacteraceae] g__Odoribacter
0.2083932321316385,k__Bacteria p__Firmicutes c__Clostridia o__SHA-98 f__ g__
0.21255848938582642,k__Bacteria p__Firmicutes c__Erysipelotrichi o__Erysipelotrichales f__Erysipelotrichaceae g__Coprobacillus
0.23075510016135928,k__Bacteria p__ c__ o__ f__ g__
0.23591771404894613,k__Bacteria p__Firmicutes c__Erysipelotrichi o__Erysipelotrichales f__Erysipelotrichaceae
0.24550966943602592,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__[Mogibacteriaceae]
0.25436670462258726,k__Bacteria p__Firmicutes c__Erysipelotrichi o__Erysipelotrichales f__Erysipelotrichaceae g__
0.27734796141048157,k__Bacteria p__Proteobacteria c__Deltaproteobacteria o__Desulfovibrionales f__Desulfovibrionaceae g__
0.27942223385702314,k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Porphyromonadaceae g__Parabacteroides
0.29980266924866367,k__Bacteria p__Proteobacteria c__Betaproteobacteria o__Burkholderiales f__Alcaligenaceae g__Sutterella
0.31113918016136266,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Lachnospiraceae g__Dorea
0.33818293069405353,k__Bacteria p__Firmicutes c__Bacilli o__Turicibacterales f__Turicibacteraceae g__Turicibacter
0.3770118862821828,k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Peptostreptococcaceae g__
0.3911146675508663,k__Bacteria p__Firmicutes c__Erysipelotrichi o__Erysipelotrichales f__Erysipelotrichaceae g__Clostridium
0.4284316197916958,k__Bacteria p__Bacteroidetes c__Bacteroidia o__Bacteroidales f__Bacteroidaceae g__Bacteroides
0.482480696550738,k__Bacteria p__Verrucomicrobia c__Verrucomicrobiae o__Verrucomicrobiales f__Verrucomicrobiaceae g__Akkermansia
