rho,bact
0.13046118646570615,Age
0.1409195592639952,age_at_diagnosis
0.16647171670259642,height_cm
0.16851683901949446,date_of_diagnosis
0.17672585670796254,IBD_hospitalizations
0.1834507348999762,Cal
0.19455649404470557,HGB
0.22417280186472868,smoking_number_of_years
0.2270244225521814,smoking_number_of_cigarettes_per_day
0.2542278738707873,months_since_start
0.2619817142475742,CDAI
0.2910232835843388,months_since_first_visit
0.3324558455887353,disease_duration
0.36498851778168134,weight_kg
0.5144782953809318,BMI
